node, book, chapter, verse, language, lex, pred, word_order, tense, stem, type, func
27,Genesis,1,2,Hebrew,RXP[,,S-ptc,ptca,piel,verb,PreC
90,Genesis,1,6,Hebrew,BDL[,HJH[,ptc,ptca,hif,verb,PreC
187,Genesis,1,11,Hebrew,ZR<[,,ptc,ptca,hif,verb,PreC
191,Genesis,1,11,Hebrew,<FH[,,ptc,ptca,qal,verb,PreC
210,Genesis,1,12,Hebrew,ZR<[,,ptc,ptca,hif,verb,PreC
216,Genesis,1,12,Hebrew,<FH[,,ptc,ptca,qal,verb,PreC
395,Genesis,1,21,Hebrew,RMF[,,ptc,ptca,qal,verb,PreC
530,Genesis,1,26,Hebrew,RMF[,,ptc,ptca,qal,verb,PreC
586,Genesis,1,28,Hebrew,RMF[,,ptc,ptca,qal,verb,PreC
599,Genesis,1,29,Hebrew,ZR<[,,ptc,ptca,qal,verb,PreC
616,Genesis,1,29,Hebrew,ZR<[,,ptc,ptca,qal,verb,PreC
637,Genesis,1,30,Hebrew,RMF[,,ptc,ptca,qal,subs,Cmpl
841,Genesis,2,9,Hebrew,XMD[,,ptc,ptca,nif,verb,PreC
865,Genesis,2,10,Hebrew,JY>[,,S-ptc,ptca,qal,verb,PreC
888,Genesis,2,11,Hebrew,SBB[,,ptc,ptca,qal,verb,PreC
921,Genesis,2,13,Hebrew,SBB[,,ptc,ptca,qal,verb,PreC
935,Genesis,2,14,Hebrew,HLK[,,ptc,ptca,qal,verb,PreC
1243,Genesis,3,5,Hebrew,JD<[,,ptc-S,ptca,qal,verb,PreC
1257,Genesis,3,5,Hebrew,JD<[,,ptc,ptca,qal,subs,PreC
1279,Genesis,3,6,Hebrew,XMD[,,ptc-S,ptca,nif,verb,PreC
1321,Genesis,3,8,Hebrew,HLK[,,ptc,ptca,hit,verb,PreC
1435,Genesis,3,14,Hebrew,>RR[,,ptc-S,ptcp,qal,verb,PreC
1519,Genesis,3,17,Hebrew,>RR[,,ptc-S,ptcp,qal,verb,PreC
1659,Genesis,3,24,Hebrew,HPK[,,ptc,ptca,hit,verb,PreC
1697,Genesis,4,2,Hebrew,R<H[,HJH[,S-ptc,ptca,qal,subs,PreC
1702,Genesis,4,2,Hebrew,<BD[,HJH[,S-ptc,ptca,qal,subs,PreC
1779,Genesis,4,7,Hebrew,RBY[,,S-ptc,ptca,qal,verb,PreC
1821,Genesis,4,9,Hebrew,CMR[,,ptc-S,ptca,qal,verb,PreC
1831,Genesis,4,10,Hebrew,Y<Q[,,S-ptc,ptca,qal,verb,PreC
1838,Genesis,4,11,Hebrew,>RR[,,ptc-S,ptcp,qal,verb,PreC
1864,Genesis,4,12,Hebrew,NW<[,HJH[,ptc-ptc,ptca,qal,adjv,PreC
1866,Genesis,4,12,Hebrew,NWD[,HJH[,ptc-ptc,ptca,qal,adjv,PreC
1896,Genesis,4,14,Hebrew,NW<[,HJH[,ptc-ptc,ptca,qal,adjv,PreC
1898,Genesis,4,14,Hebrew,NWD[,HJH[,ptc-ptc,ptca,qal,adjv,PreC
1905,Genesis,4,14,Hebrew,MY>[,,ptc,ptca,qal,verb,PtcO
1913,Genesis,4,15,Hebrew,HRG[,,ptc,ptca,qal,verb,PreC
1928,Genesis,4,15,Hebrew,MY>[,NKH[,S,ptca,qal,subs,Subj
1956,Genesis,4,17,Hebrew,BNH[,,ptc,ptca,qal,verb,PreC
2011,Genesis,4,20,Hebrew,JCB[,HJH[,S-ptc,ptca,qal,subs,PreC
2023,Genesis,4,21,Hebrew,TPF[,HJH[,S-ptc,ptca,qal,subs,PreC
2034,Genesis,4,22,Hebrew,LVC[,,ptc-ptc,ptca,qal,subs,PreC
2036,Genesis,4,22,Hebrew,XRC=[,,ptc-ptc,ptca,qal,subs,PreC
2846,Genesis,6,13,Hebrew,CXT[,,ptc,ptca,hif,verb,PtcO
2916,Genesis,6,17,Hebrew,BW>[,,ptc,ptca,hif,verb,PreC
3111,Genesis,7,4,Hebrew,MVR[,,S-ptc,ptca,hif,verb,PreC
3193,Genesis,7,8,Hebrew,RMF[,,ptc,ptca,qal,verb,PreC
3320,Genesis,7,14,Hebrew,RMF[,,ptc,ptca,qal,verb,PreC
3355,Genesis,7,16,Hebrew,BW>[,,ptc,ptca,qal,verb,PreC
3453,Genesis,7,21,Hebrew,RMF[,,ptc,ptca,qal,verb,PreC
3474,Genesis,7,21,Hebrew,CRY[,,ptc,ptca,qal,verb,PreC
3893,Genesis,8,17,Hebrew,RMF[,,ptc,ptca,qal,verb,PreC
3933,Genesis,8,19,Hebrew,RMF[,,ptc,ptca,qal,verb,PreC
4135,Genesis,9,6,Hebrew,CPK[,,ptc,ptca,qal,subs,Frnt
4178,Genesis,9,9,Hebrew,QWM[,,ptc,ptca,hif,verb,PreC
4209,Genesis,9,10,Hebrew,JY>[,,ptc,ptca,qal,verb,PreC
4250,Genesis,9,12,Hebrew,NTN[,,S-ptc,ptca,qal,verb,PreC
4375,Genesis,9,18,Hebrew,JY>[,,ptc,ptca,qal,verb,PreC
4482,Genesis,9,25,Hebrew,>RR[,,ptc-S,ptcp,qal,verb,PreC
4491,Genesis,9,26,Hebrew,BRK[,,ptc-S,ptcp,qal,verb,PreC
5520,Genesis,12,3,Hebrew,BRK[,BRK[,ptc,ptca,piel,subs,Objc
5522,Genesis,12,3,Hebrew,QLL[,>RR[,ptc,ptca,piel,subs,Objc
5631,Genesis,12,7,Hebrew,R>H[,,ptc,ptca,nif,verb,PreC
5944,Genesis,13,5,Hebrew,HLK[,,ptc,ptca,qal,verb,PreC
5976,Genesis,13,7,Hebrew,R<H[,HJH[,S-ptc-ptc,ptca,qal,subs,PreC
5981,Genesis,13,7,Hebrew,R<H[,HJH[,S-ptc-ptc,ptca,qal,subs,PreC
5991,Genesis,13,7,Hebrew,JCB[,,S-ptc,ptca,qal,verb,PreC
6009,Genesis,13,8,Hebrew,R<H[,HJH[,S-ptc-ptc,ptca,qal,subs,Cmpl
6012,Genesis,13,8,Hebrew,R<H[,HJH[,S-ptc-ptc,ptca,qal,subs,Cmpl
6151,Genesis,13,15,Hebrew,R>H[,,S-ptc,ptca,qal,verb,PreC
6339,Genesis,14,7,Hebrew,JCB[,,ptc,ptca,qal,verb,PreC
6407,Genesis,14,10,Hebrew,C>R[,NWS[,S,ptca,nif,subs,Subj
6438,Genesis,14,12,Hebrew,JCB[,,S-ptc,ptca,qal,verb,PreC
6453,Genesis,14,13,Hebrew,CKN[,,S-ptc,ptca,qal,verb,PreC
6574,Genesis,14,19,Hebrew,BRK[,,ptc-S-ptc,ptcp,qal,verb,PreC
6579,Genesis,14,19,Hebrew,QNH=[,,ptc-S-ptc,ptca,qal,subs,Cmpl
6584,Genesis,14,20,Hebrew,BRK[,,ptc-S,ptcp,qal,verb,PreC
6625,Genesis,14,22,Hebrew,QNH=[,RWM[,ptc,ptca,qal,subs,Cmpl
6704,Genesis,15,2,Hebrew,HLK[,,S-ptc,ptca,qal,verb,PreC
6725,Genesis,15,3,Hebrew,JRC[,,S-ptc,ptca,qal,verb,PreC
